,K
0_uM_(pos_control),0.0010585815130363062
C1_3_uM,0.0006865475944627338
C1_6_uM,0.0009996199118538463
C2_3_uM,0.00107370101172893
C2_6_uM,-9.363982877661675e-05
C1_neg_control,-2.335711486890157e-07
C2_neg_control,-3.4920080867632134e-07
