C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.043873426,-0.043490033,-0.043603789,-0.043800275,-0.043691486,-0.043431106,-0.043593769,-0.043409135,-0.043671355,-0.043489471,-0.043447736,-0.043427406,-0.043633711,-0.043846423,-0.043531624,-0.043536026,-0.043641858,-0.044236608,-0.043624767,-0.043448532,-0.043306106,-0.043609736,-0.043664191,-0.043924713,-0.043542724,-0.043179054,-0.04390506,-0.043308402,-0.043671682,-0.043735679,-0.043610907,-0.043623924,-0.043400937,-0.043619523,-0.043201786,-0.043731607,-0.043580657,-0.043619476,-0.043511298,-0.043487036,-0.043772847,-0.043535558,-0.043491111,-0.04328858,-0.043570026,-0.043663817,-0.043944458,-0.043647476,-0.043546096,-0.043821758,-0.043671121,-0.043502352,-0.043731841,-0.044000041,-0.043220206,-0.043366362,-0.043517901,-0.043438508,-0.043237359,-0.04351378,-0.043414757,-0.043611375,-0.043406418,-0.043458088,-0.043638299,-0.043462444,-0.043458931,-0.043480244,-0.043539773,-0.043310557,-0.043609502,-0.043270539,-0.043454481,-0.043301092,-0.043403045,-0.04359995,-0.04325409,-0.043520712,-0.043392317,-0.043381588,-0.04334584,-0.043708855,-0.043310182,-0.043486708,-0.0436854,-0.043817125,-0.043543145,-0.043344388,-0.043618774,-0.043318055,-0.043312947,-0.043196115,-0.043112584,-0.043407027,-0.043456823,-0.043243967,-0.043539586,-0.043170336,-0.043621536,-0.043545299,-0.043261869,-0.043149289,-0.043400656,-0.043555556,-0.043306059,-0.043364441,-0.043583654,-0.043280614,-0.043129366,-0.043376247,-0.043399672,-0.04364064,-0.043154586,-0.043312057,-0.043287362,-0.043675053,-0.04298782,-0.043339936,-0.043309761,-0.043221471,-0.04308047
699,-0.043525582,-0.043164429,-0.043377184,-0.043140898,-0.043122804,-0.043319601,-0.043412649,-0.043235812,-0.043451858,-0.043596297,-0.04322044,-0.043205911,-0.042944208,-0.043481883,-0.043323209,-0.043173289,-0.043520056,-0.043361114,-0.043317117,-0.043300248,-0.043155758,-0.043216363,-0.043289799,-0.043447783,-0.043092988,-0.043417849,-0.043410307,-0.043003482,-0.043107662,-0.04317807,-0.043196349,-0.043368423,-0.042966343,-0.043116006,-0.043331315,-0.043226814,-0.042963716,-0.043094441,-0.043233328,-0.043115069,-0.043164242,-0.043372546,-0.043483616,-0.043258261,-0.043145305,-0.043108177,-0.043202724,-0.043196677,-0.043093176,-0.043195787,-0.043320491,-0.043136164,-0.042985757,-0.043389178,-0.042919164,-0.043372968,-0.04320488,-0.043027021,-0.043215238,-0.043078501,-0.043289096,-0.04315107,-0.043058857,-0.043431013,-0.043372031,-0.04315093,-0.043325833,-0.042950445,-0.042997949,-0.04314282,-0.043154305,-0.043088862,-0.04293858,-0.042997433,-0.043071188,-0.043287971,-0.043088159,-0.043298749,-0.043008828,-0.04312346,-0.043286612,-0.042985851,-0.043202771,-0.043369032,-0.043055106,-0.042945474,-0.043328176,-0.042994104,-0.043192553,-0.042911331,-0.043616479,-0.043121069,-0.043245139,-0.043289283,-0.043186975,-0.042741938,-0.042861988,-0.043182241,-0.043203849,-0.043178023,-0.043267212,-0.042965592,-0.043472796,-0.043014689,-0.043155055,-0.04285392,-0.043305918,-0.042816393,-0.043302732,-0.043015486,-0.04286105,-0.043131663,-0.043190678,-0.04291982,-0.043015017,-0.042975393,-0.042836564,-0.043018628,-0.043146195,-0.042909596,-0.043014126
698,-0.043098801,-0.043106865,-0.042942238,-0.043508487,-0.043078501,-0.04327574,-0.0431851,-0.042978723,-0.043289424,-0.043563283,-0.04294885,-0.043236422,-0.043125804,-0.043276022,-0.043109443,-0.043146898,-0.043622894,-0.043069593,-0.043220487,-0.043077048,-0.043275787,-0.042973189,-0.04301558,-0.043289752,-0.043018487,-0.043097207,-0.043131101,-0.042823336,-0.042806307,-0.043143851,-0.043117975,-0.042926105,-0.042929435,-0.042940831,-0.043053324,-0.04304165,-0.04301286,-0.042837737,-0.042912738,-0.042842334,-0.043155945,-0.042837784,-0.042989321,-0.0431161,-0.043268243,-0.043281692,-0.043105833,-0.043002357,-0.043232438,-0.042963529,-0.043147367,-0.042981443,-0.042794062,-0.04307597,-0.043097911,-0.043107005,-0.043161992,-0.043044041,-0.042873949,-0.043034195,-0.042777126,-0.042890647,-0.043054731,-0.043131242,-0.043131382,-0.043255308,-0.043394847,-0.04275775,-0.042738982,-0.042853311,-0.043004607,-0.043145867,-0.042637858,-0.042999356,-0.043158195,-0.043116944,-0.04301905,-0.043256855,-0.043103302,-0.042984678,-0.043121163,-0.043043713,-0.043062233,-0.042973705,-0.043165883,-0.042995604,-0.0430725,-0.043158523,-0.042965686,-0.043278177,-0.042885441,-0.043175304,-0.043024536,-0.042749351,-0.042765022,-0.04314132,-0.043211535,-0.043050746,-0.042992134,-0.043080142,-0.042911847,-0.042917756,-0.043096785,-0.043298093,-0.043012391,-0.042903827,-0.043168039,-0.043188194,-0.04269389,-0.043059373,-0.042900122,-0.042850965,-0.042894399,-0.043109959,-0.042693562,-0.042859643,-0.043077517,-0.04329008,-0.042804993,-0.042968125,-0.042951383
697,-0.043052387,-0.043363035,-0.042961184,-0.04301558,-0.043123647,-0.043484928,-0.043334407,-0.042968078,-0.043000997,-0.043074001,-0.042882908,-0.042746349,-0.043237265,-0.042956401,-0.043124069,-0.042826854,-0.04314568,-0.043006671,-0.042761503,-0.043350057,-0.043205302,-0.043275131,-0.043166351,-0.042898011,-0.043280286,-0.043014876,-0.043204833,-0.043093316,-0.042824837,-0.043052762,-0.042851247,-0.043252731,-0.042655222,-0.043204833,-0.043115491,-0.043072641,-0.04314882,-0.042793969,-0.042926714,-0.042867617,-0.043067577,-0.04333333,-0.043101286,-0.04298496,-0.043365612,-0.043073719,-0.043639517,-0.04296381,-0.043436353,-0.042888302,-0.042950304,-0.043037336,-0.043189178,-0.042868133,-0.043327192,-0.043073625,-0.043278084,-0.04295959,-0.043146383,-0.043166304,-0.043019472,-0.042972814,-0.042985053,-0.042992369,-0.04323614,-0.042837456,-0.04316457,-0.043069125,-0.043195881,-0.042852372,-0.043053746,-0.043066312,-0.042742877,-0.043108834,-0.043528065,-0.043088581,-0.043449891,-0.043065327,-0.042985241,-0.042762676,-0.042589329,-0.043148117,-0.043183272,-0.043369876,-0.043159414,-0.042697081,-0.043325271,-0.042756811,-0.043218753,-0.04309552,-0.043045916,-0.043026036,-0.042768869,-0.042771496,-0.043024114,-0.043128757,-0.042845993,-0.043125476,-0.042716742,-0.042740953,-0.042890976,-0.042973518,-0.042877373,-0.042980036,-0.042712237,-0.042935203,-0.042943973,-0.043264353,-0.042951711,-0.042918976,-0.04295415,-0.043118491,-0.042725281,-0.042853827,-0.042811186,-0.04296503,-0.042912926,-0.04295687,-0.042958183,-0.043170898,-0.042836658
696,-0.043058388,-0.043317071,-0.043444316,-0.043546892,-0.043254324,-0.043225221,-0.043329816,-0.042963529,-0.042975346,-0.043714754,-0.043043947,-0.043404685,-0.043139351,-0.043194896,-0.043365753,-0.04338632,-0.043080705,-0.043467316,-0.043184444,-0.043281692,-0.043342279,-0.042807198,-0.043314119,-0.043400187,-0.043736054,-0.043238577,-0.043305872,-0.043356897,-0.043194053,-0.042624154,-0.043202114,-0.042926105,-0.043483476,-0.04288788,-0.043196256,-0.042731757,-0.043317071,-0.043198177,-0.043161336,-0.042930232,-0.043351837,-0.043092754,-0.04314868,-0.043088159,-0.043268852,-0.043308355,-0.043418083,-0.043117788,-0.043339093,-0.043089894,-0.04318121,-0.043151352,-0.043190584,-0.043140711,-0.043283894,-0.043241061,-0.043153742,-0.043545393,-0.042958933,-0.043032225,-0.043107943,-0.043937299,-0.043119428,-0.043540148,-0.043034663,-0.043218987,-0.043337547,-0.043364862,-0.042808089,-0.043091957,-0.04301422,-0.04319185,-0.043010187,-0.042882439,-0.043311354,-0.043515044,-0.042649544,-0.042929904,-0.043204177,-0.043094629,-0.042519155,-0.04293661,-0.043401546,-0.042801334,-0.042897448,-0.043046713,-0.042985944,-0.043197193,-0.043040102,-0.043354602,-0.042598435,-0.043235109,-0.042934453,-0.043028896,-0.043107802,-0.043103911,-0.042927981,-0.042867898,-0.043419489,-0.042864474,-0.043063967,-0.042866304,-0.043331409,-0.043067062,-0.043308402,-0.042845758,-0.043095098,-0.043070531,-0.043204036,-0.042991853,-0.043087268,-0.043323303,-0.042735182,-0.043090738,-0.042630913,-0.042843319,-0.042661042,-0.04305309,-0.0428254,-0.043153227,-0.042961419
695,-0.043094957,-0.043054497,-0.043091722,-0.043102505,-0.043269039,-0.043293876,-0.043164429,-0.043383369,-0.043129179,-0.043435322,-0.043394238,-0.043190866,-0.043173757,-0.043424079,-0.043250341,-0.043445206,-0.043301701,-0.043186881,-0.043349588,-0.04305745,-0.043208207,-0.043298093,-0.043136211,-0.042861332,-0.04343565,-0.04325095,-0.043163258,-0.043183132,-0.043422159,-0.043123929,-0.042601814,-0.042994573,-0.042808981,-0.043053184,-0.043213129,-0.042956495,-0.043251372,-0.043091066,-0.043154961,-0.042941347,-0.043210035,-0.043283754,-0.043158476,-0.043206286,-0.043424267,-0.04327007,-0.043456589,-0.04322044,-0.043227376,-0.04310874,-0.043546658,-0.043253855,-0.0429292,-0.043180694,-0.04293525,-0.043335157,-0.043555602,-0.043107005,-0.043282114,-0.042921884,-0.043740454,-0.04319349,-0.043284316,-0.043298749,-0.043301701,-0.042962591,-0.04271402,-0.04313532,-0.04312421,-0.043158711,-0.043101755,-0.043143664,-0.04304812,-0.043317539,-0.043177929,-0.04303743,-0.042899981,-0.043132226,-0.04287348,-0.04322747,-0.042940127,-0.043043807,-0.043317117,-0.042886051,-0.043386039,-0.042940784,-0.042968218,-0.042937032,-0.04322972,-0.043478511,-0.043411337,-0.042900356,-0.042791341,-0.042955041,-0.042883893,-0.042956401,-0.042717164,-0.043393629,-0.042757468,-0.042946834,-0.043258964,-0.042923103,-0.042932952,-0.042688634,-0.042969156,-0.042817472,-0.04307958,-0.042575389,-0.042864943,-0.043116381,-0.042810529,-0.043273913,-0.043410541,-0.043125429,-0.043263978,-0.043012438,-0.04292315,-0.043349167,-0.042884221,-0.043213035,-0.042821881
694,-0.043077986,-0.043210879,-0.043136726,-0.043204786,-0.042990446,-0.043149758,-0.043067624,-0.043099036,-0.043146617,-0.043400469,-0.042941487,-0.043475747,-0.043607301,-0.042983787,-0.043457713,-0.042903311,-0.043118819,-0.043417615,-0.043364347,-0.043280052,-0.043174179,-0.042815032,-0.043001888,-0.042900168,-0.043344341,-0.043117413,-0.04335835,-0.043148586,-0.042979895,-0.043230985,-0.043121069,-0.043299077,-0.043167336,-0.043235719,-0.043051496,-0.043186132,-0.043360599,-0.043117741,-0.043527034,-0.042976378,-0.042908892,-0.042996683,-0.042874137,-0.043285581,-0.043299077,-0.043270632,-0.043090222,-0.043071516,-0.043274944,-0.042978441,-0.043442771,-0.042992603,-0.043339374,-0.043326629,-0.043278693,-0.04312285,-0.043641296,-0.043241061,-0.043280708,-0.043462772,-0.043514529,-0.043343076,-0.043378121,-0.043111271,-0.043163258,-0.043481602,-0.04329889,-0.043258354,-0.043645603,-0.043005498,-0.043130163,-0.043035414,-0.043167711,-0.043387866,-0.043086471,-0.043266696,-0.042981958,-0.042728754,-0.043033773,-0.043005217,-0.042960434,-0.043016049,-0.043244201,-0.043189647,-0.043007937,-0.043015252,-0.043285441,-0.042906453,-0.043380792,-0.042989227,-0.043484694,-0.043191615,-0.043048776,-0.042913535,-0.042682206,-0.043231454,-0.043375638,-0.043222596,-0.043038649,-0.043298608,-0.04346385,-0.04272439,-0.043339936,-0.042980411,-0.043030256,-0.043106302,-0.043132835,-0.043323349,-0.042986132,-0.042786697,-0.042927043,-0.042827182,-0.043179991,-0.043437149,-0.042994104,-0.043025004,-0.043088065,-0.043048776,-0.043010656,-0.042842522,-0.042509109
693,-0.043253855,-0.043534528,-0.04326201,-0.043451483,-0.043103114,-0.043227423,-0.043373249,-0.043293641,-0.043451764,-0.043520056,-0.043160211,-0.043519728,-0.043325692,-0.043529095,-0.04354544,-0.043025802,-0.043320023,-0.043606084,-0.043310136,-0.043230845,-0.043395784,-0.043306949,-0.043422018,-0.043157351,-0.043312853,-0.042973564,-0.043597327,-0.04331365,-0.043739846,-0.043175538,-0.043134851,-0.043463943,-0.043182476,-0.04344605,-0.04299823,-0.043035039,-0.043103349,-0.043583747,-0.043159695,-0.043430591,-0.042728284,-0.04315093,-0.043226767,-0.0432158,-0.042815267,-0.042765022,-0.042880704,-0.043140804,-0.043051965,-0.042989274,-0.043218284,-0.042936188,-0.043661242,-0.043123272,-0.043165414,-0.04316082,-0.043244811,-0.043268289,-0.043065608,-0.043014361,-0.043158195,-0.043042728,-0.043090831,-0.043009625,-0.043085252,-0.042869587,-0.043561316,-0.043189038,-0.043031803,-0.043052762,-0.043158758,-0.04314282,-0.043139492,-0.042775953,-0.043293876,-0.043306762,-0.042574451,-0.043140758,-0.043134945,-0.042901857,-0.042925823,-0.042760143,-0.043365425,-0.043320679,-0.042986695,-0.042899606,-0.043398641,-0.042791904,-0.043001325,-0.043097254,-0.042898152,-0.043081033,-0.043111881,-0.043116991,-0.043087315,-0.043086518,-0.042942097,-0.042781396,-0.042991525,-0.043125523,-0.043413914,-0.042858189,-0.043183975,-0.042845946,-0.042994432,-0.042981771,-0.042922822,-0.042998793,-0.043081174,-0.04294327,-0.042930607,-0.043059466,-0.042983037,-0.043297859,-0.042901482,-0.043022988,-0.042889287,-0.043211394,-0.043102036,-0.043026411,-0.042914192
692,-0.043588758,-0.043189506,-0.043056138,-0.043293922,-0.043286893,-0.043809168,-0.043206942,-0.043411853,-0.043281739,-0.043564735,-0.043215425,-0.04319888,-0.043264634,-0.04329739,-0.04347111,-0.043139398,-0.043190116,-0.043502961,-0.042989274,-0.0433643,-0.043648319,-0.043231079,-0.043297343,-0.043262291,-0.043322459,-0.043364534,-0.043474576,-0.043303247,-0.043463943,-0.043508019,-0.043367299,-0.043147039,-0.042724015,-0.043294438,-0.043647476,-0.043004326,-0.043296593,-0.043433074,-0.04296306,-0.04339644,-0.042941675,-0.043197146,-0.042933186,-0.042716319,-0.043693827,-0.043284925,-0.043305122,-0.043282254,-0.043153789,-0.043281692,-0.043105177,-0.042939987,-0.043107287,-0.04338468,-0.043245045,-0.043154867,-0.043107849,-0.042928684,-0.043178538,-0.04313021,-0.043038649,-0.043191897,-0.043003388,-0.043248232,-0.043275225,-0.043313884,-0.043271429,-0.043004232,-0.043123366,-0.0430424,-0.042992603,-0.042748695,-0.043504459,-0.043117413,-0.042815736,-0.042855234,-0.042944911,-0.043277381,-0.043008218,-0.04315857,-0.043176851,-0.043542724,-0.043109677,-0.043170429,-0.043336141,-0.04337948,-0.04314282,-0.043086565,-0.043097535,-0.043577847,-0.043334126,-0.04286879,-0.042840927,-0.042978535,-0.04331932,-0.043174507,-0.042974971,-0.043342092,-0.043521039,-0.043167758,-0.042818832,-0.043238999,-0.043061201,-0.042937173,-0.042856688,-0.042991571,-0.042941441,-0.043071516,-0.042992978,-0.042901576,-0.043101427,-0.043292704,-0.043085393,-0.043462679,-0.043334782,-0.042994854,-0.042928497,-0.043402202,-0.043304606,-0.043311401,-0.043384446
691,-0.043465255,-0.043213785,-0.043791897,-0.043166023,-0.043393207,-0.043522585,-0.043444457,-0.043299358,-0.043462866,-0.043458884,-0.043401359,-0.043399485,-0.043560848,-0.043176523,-0.043236984,-0.04336772,-0.043167758,-0.043427312,-0.043042963,-0.043510033,-0.043279255,-0.043066827,-0.043261026,-0.043306153,-0.042870384,-0.043256714,-0.043256199,-0.043261307,-0.043526472,-0.04295687,-0.043228501,-0.043099223,-0.043243451,-0.043194334,-0.042951758,-0.043427452,-0.043513077,-0.043117975,-0.04310813,-0.043456214,-0.042965827,-0.043205676,-0.043209754,-0.043238671,-0.043199162,-0.043249028,-0.043534856,-0.043315477,-0.042885957,-0.043238671,-0.043310651,-0.043268758,-0.043419676,-0.043081736,-0.043327707,-0.04299537,-0.043403186,-0.043047651,-0.042885722,-0.043058622,-0.043216316,-0.043246591,-0.043203052,-0.043441693,-0.042874184,-0.043014407,-0.042728519,-0.042894071,-0.042879343,-0.043042587,-0.042908611,-0.043015814,-0.043156086,-0.04311685,-0.043027677,-0.04332677,-0.043535558,-0.043269227,-0.04305445,-0.042924229,-0.043020503,-0.043099129,-0.042869962,-0.042671131,-0.042940831,-0.042778768,-0.043218518,-0.043189225,-0.042635183,-0.043153461,-0.043317399,-0.042731616,-0.043018112,-0.043543473,-0.043142164,-0.043084643,-0.042968734,-0.042774077,-0.043340124,-0.043369922,-0.043180648,-0.04284543,-0.043226908,-0.042943879,-0.0431851,-0.043233375,-0.043264306,-0.042716601,-0.043184678,-0.0428178,-0.043123929,-0.043563517,-0.042890084,-0.043250575,-0.042941956,-0.042986413,-0.042949132,-0.043074188,-0.042719041,-0.043292001,-0.043287221
