C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.019702411,-0.018875925,-0.013252647,-0.005146118,0.004791004,0.01574672,0.026048598,0.037219649,0.046969678,0.057847838,0.067694161,0.079681102,0.090557042,0.100777193,0.109710158,0.119648178,0.128460352,0.13695849,0.146636848,0.155342141,0.166851675,0.175177902,0.183879194,0.191360767,0.199816636,0.208870787,0.218387072,0.227247229,0.234468175,0.24331581,0.250840716,0.255787475,0.260749514,0.272980379,0.27948344,0.284245548,0.288857631,0.295534632,0.305370062,0.307597386,0.312810809,0.320540627,0.323438489,0.330165867,0.334309022,0.339183947,0.346456025,0.352861552,0.352857615,0.358857694,0.356617253,0.356640408,0.358473329,0.361652928,0.362749468,0.363211203,0.364091279,0.366622599,0.365593883,0.363085973,0.364620937,0.366666677,0.365311105,0.368021872,0.366160924,0.364432121,0.364798952,0.365098047,0.366575425,0.367274588,0.364990808,0.365406505,0.366173104,0.364718973,0.365966567,0.365554058,0.364142524,0.365241865,0.36696212,0.365124629,0.366001199,0.366399118,0.367227434,0.367878611,0.366050716,0.365482467,0.366147782,0.365981448,0.366422138,0.368634014,0.366868336,0.366849359,0.36779924,0.368868696,0.369287941,0.367753447,0.368960037,0.368572588,0.367656927,0.368102342,0.370014244,0.36902842,0.370116722,0.372610797,0.368070231,0.369172,0.37135334,0.368606672,0.37133511,0.367548148,0.370634975,0.366836015,0.370478973,0.369906482,0.368636131,0.367940693,0.36868849,0.366777614,0.363966902,0.361938873,0.363538142
699,-0.019543961,-0.018544522,-0.012905164,-0.0043389,0.005550453,0.01596336,0.026492561,0.038244459,0.048432583,0.058820407,0.069155716,0.080805726,0.093084008,0.102820693,0.111722397,0.121756098,0.130496033,0.139392385,0.149514154,0.158307568,0.169019366,0.17812887,0.186713066,0.194522153,0.203606502,0.211899959,0.221697455,0.230492868,0.238217239,0.246771339,0.254705284,0.259904668,0.264619068,0.277498864,0.283641234,0.288785247,0.293486503,0.300189981,0.309850482,0.312442825,0.317858443,0.325292926,0.327749691,0.334810243,0.338781696,0.343768637,0.35149817,0.357605084,0.35823956,0.363501404,0.362028262,0.361654536,0.364038753,0.366741415,0.367667278,0.367679682,0.369212128,0.371952338,0.370518948,0.368410734,0.369660779,0.371640477,0.37083955,0.372107438,0.371612672,0.368989429,0.369785645,0.370178913,0.372116433,0.372522896,0.370669434,0.370653146,0.370538177,0.369173151,0.370740396,0.370724835,0.369153891,0.369912761,0.371857136,0.370329858,0.370383272,0.371483839,0.372408926,0.373204655,0.371260855,0.369919192,0.370791794,0.370927384,0.371504238,0.374058929,0.371351697,0.371898579,0.372511421,0.373538167,0.374325459,0.373174916,0.374561919,0.374024966,0.373546518,0.373147256,0.374486222,0.374158047,0.375534892,0.377040681,0.372970186,0.37409994,0.37666919,0.373032939,0.375972961,0.372683329,0.375813923,0.372349496,0.375631028,0.37481937,0.373579128,0.373330667,0.373980074,0.371737247,0.369023001,0.366342821,0.368432531
698,-0.019424367,-0.018633807,-0.012037681,-0.004742312,0.00609607,0.017130684,0.027283323,0.039319243,0.04983455,0.060188183,0.07071106,0.082666794,0.094870362,0.104641244,0.114112141,0.124258124,0.133076254,0.14238808,0.152497947,0.161141607,0.172497471,0.181437292,0.190161341,0.197869381,0.206927414,0.215650386,0.225764761,0.234396539,0.242631648,0.251104982,0.258929168,0.263594888,0.269660523,0.281901833,0.288570329,0.29343588,0.298482897,0.305159534,0.314753513,0.31721443,0.322209101,0.331066666,0.333401927,0.340053339,0.344001345,0.349766641,0.356701904,0.362739054,0.36323761,0.369485124,0.366599177,0.3671584,0.369539252,0.372350686,0.372884075,0.373497302,0.375031696,0.377314016,0.376035135,0.374704335,0.37489267,0.378111404,0.37652234,0.377772911,0.376658067,0.37466655,0.37560106,0.375779022,0.377065012,0.377780479,0.376269572,0.376068978,0.376234112,0.37539334,0.376614936,0.376997696,0.374736603,0.37574019,0.377201897,0.376073655,0.376605663,0.376733374,0.378373937,0.378984222,0.376463946,0.376123072,0.377373419,0.376051133,0.376878477,0.379539844,0.377241755,0.377016228,0.378308768,0.379093052,0.380106209,0.378505233,0.379734229,0.379626199,0.378812775,0.379016871,0.380442486,0.379296474,0.380718064,0.382726468,0.378710856,0.38006705,0.382492392,0.379602561,0.381729132,0.377810227,0.381259749,0.377699524,0.381516871,0.380332415,0.379345422,0.378392342,0.379152606,0.377399898,0.374466173,0.372607348,0.37415143
697,-0.019446645,-0.018347783,-0.012310378,-0.004022425,0.006606129,0.016969741,0.028431074,0.040439792,0.050938556,0.061832487,0.072653068,0.08510644,0.096721824,0.107535468,0.11629533,0.127179918,0.135814211,0.144998832,0.155701803,0.163992449,0.175775138,0.184323163,0.193191744,0.201600421,0.21059826,0.219778268,0.229187014,0.238516115,0.246142439,0.255478762,0.26259662,0.26835382,0.273761603,0.286133431,0.293068568,0.298612413,0.303314841,0.310536415,0.319973821,0.322631134,0.328220795,0.336210705,0.339110385,0.34648902,0.349473865,0.35539405,0.362374584,0.368971509,0.368937064,0.375390975,0.373403747,0.373526023,0.375611141,0.379032701,0.379743351,0.380015008,0.381328414,0.383763931,0.381898459,0.380596233,0.380768759,0.384060679,0.382381707,0.384762849,0.383564197,0.381337726,0.381505811,0.381828051,0.383151401,0.383853949,0.382255227,0.381864719,0.382333196,0.381309947,0.382962452,0.382375932,0.380825712,0.381916827,0.383930388,0.381764544,0.383047083,0.382570184,0.384091832,0.385054407,0.382710003,0.382135429,0.382616598,0.38279999,0.382664454,0.385466156,0.383506508,0.383740568,0.384935939,0.386763789,0.386428193,0.384287043,0.386104191,0.386170824,0.385291063,0.384881176,0.386067069,0.386102113,0.386796902,0.389573992,0.384916752,0.386450282,0.38901433,0.384922216,0.38777713,0.384247034,0.387626318,0.383873653,0.387362206,0.386106805,0.38564371,0.385625655,0.385269064,0.383276172,0.380484787,0.377989066,0.38049921
696,-0.019493474,-0.01842505,-0.012614687,-0.003852606,0.007130839,0.018041597,0.029341682,0.041596911,0.052426977,0.0632136,0.074026226,0.08660656,0.098943768,0.109362047,0.118773286,0.129412708,0.138918029,0.147589664,0.158838185,0.167416248,0.178799958,0.188341031,0.197067122,0.204972073,0.213661012,0.223615847,0.233387077,0.242981362,0.250607035,0.260129979,0.267551003,0.272949028,0.278035856,0.291394967,0.298083885,0.303431021,0.307836366,0.31517312,0.324706192,0.328197399,0.332721266,0.341922601,0.344813641,0.351786582,0.354943566,0.361290498,0.368149954,0.375071141,0.375299192,0.381095744,0.379082115,0.37927146,0.381566787,0.384914648,0.385358231,0.386548487,0.387546003,0.389629954,0.388520357,0.386656897,0.387693184,0.389719958,0.388655263,0.390064654,0.389103922,0.38740345,0.387736546,0.388079291,0.389593418,0.390111653,0.387944627,0.388118199,0.388341149,0.387272405,0.388576468,0.389112863,0.386853295,0.388011479,0.390177887,0.388174163,0.389260132,0.3898917,0.390666081,0.391580788,0.389123453,0.388139679,0.389323476,0.389072851,0.388889834,0.39161781,0.389870959,0.390324469,0.390457265,0.391887203,0.392035066,0.390785582,0.392798924,0.391929262,0.391014427,0.390705158,0.392911081,0.391944134,0.392476431,0.395792771,0.390560547,0.392393713,0.394448981,0.390819735,0.393560124,0.390367807,0.394465833,0.390043555,0.393406042,0.392586906,0.391944549,0.391641728,0.391435949,0.389698304,0.387607644,0.384213268,0.386258255
695,-0.019511888,-0.018278146,-0.011894695,-0.003040511,0.007894763,0.018962916,0.030523913,0.042844166,0.053470112,0.064781035,0.075601175,0.088397255,0.10093556,0.111897701,0.121522113,0.132130086,0.141538673,0.151015876,0.161300287,0.170374126,0.182261694,0.191607255,0.200520801,0.208811917,0.217544544,0.227491136,0.237572816,0.247311291,0.254896767,0.264634922,0.272915106,0.277769117,0.283536494,0.296367322,0.302659334,0.308816165,0.313657949,0.321032731,0.330706671,0.333578278,0.338669328,0.347115913,0.350572364,0.357059847,0.361244346,0.366614651,0.374928543,0.381124848,0.381790482,0.387233826,0.385231604,0.385666043,0.388345865,0.391266494,0.391951187,0.391602248,0.39332289,0.396055779,0.394932588,0.392994026,0.393129113,0.396338546,0.395531403,0.396680698,0.395642562,0.393443156,0.394405875,0.394350579,0.395741033,0.395713733,0.394831185,0.394879506,0.394707322,0.393276918,0.395136913,0.395479084,0.393226663,0.39431605,0.396344575,0.393988485,0.395290164,0.395586529,0.396553371,0.397952719,0.394971697,0.394734077,0.39530811,0.395092485,0.395604197,0.397669513,0.395116177,0.395780214,0.397295726,0.398871666,0.398768528,0.396786245,0.398811583,0.397608853,0.397715758,0.398125644,0.398811389,0.397978639,0.398730372,0.40196046,0.397216025,0.398602606,0.400516781,0.398374359,0.400364409,0.396459521,0.400285217,0.395810062,0.399598833,0.399136351,0.397613024,0.397096519,0.39745656,0.395934948,0.393319656,0.389359736,0.392680435
694,-0.019163484,-0.018431452,-0.012183892,-0.003058144,0.008427156,0.019782445,0.031524814,0.043842058,0.054925239,0.066784127,0.07785973,0.089805942,0.103004351,0.11436012,0.124140526,0.134766626,0.144149539,0.153651111,0.164706174,0.173384661,0.185845271,0.195165356,0.20485502,0.212898167,0.222208308,0.231478282,0.242091964,0.251608444,0.259644502,0.269299297,0.276758675,0.282267155,0.287998104,0.301825916,0.308641445,0.313660161,0.318347704,0.326255452,0.336708169,0.338981914,0.345150223,0.353118038,0.355670002,0.362842814,0.367192795,0.372742254,0.380916461,0.387501713,0.388423763,0.393863516,0.391548742,0.391569627,0.394610113,0.396910961,0.397408339,0.398583421,0.40003999,0.402101764,0.401025022,0.398281799,0.400168246,0.401890642,0.400987971,0.403645109,0.401624992,0.399697879,0.400399064,0.400661979,0.401939886,0.402967669,0.400855759,0.401456507,0.40055555,0.399797989,0.400930885,0.401849273,0.399252817,0.400604968,0.402452477,0.401314827,0.401283392,0.402283801,0.403351877,0.4041372,0.401093267,0.400671715,0.401413907,0.401735078,0.401678742,0.40457432,0.401880553,0.401880781,0.403458371,0.404740535,0.405228704,0.403119059,0.40429343,0.404189719,0.403773285,0.404195398,0.405167669,0.405041778,0.405526202,0.408418595,0.402917982,0.405043915,0.407270221,0.403323964,0.406632398,0.402740455,0.406581299,0.402867874,0.407202354,0.404815021,0.403546829,0.403854756,0.403803622,0.401903802,0.399276154,0.396677407,0.398688298
693,-0.019463278,-0.018675021,-0.011735638,-0.002816765,0.009169967,0.020848184,0.032207806,0.04476278,0.056358585,0.067952289,0.079360963,0.092188857,0.105253511,0.116287278,0.126347871,0.137502291,0.147105222,0.156702365,0.167685804,0.177142958,0.18910007,0.198512331,0.207553115,0.217026643,0.226174567,0.236590095,0.246179899,0.256016774,0.264061076,0.27387189,0.282014108,0.287322229,0.293308458,0.306961419,0.313341652,0.319135334,0.324205678,0.331099982,0.341995247,0.344256423,0.350476455,0.359524776,0.362449034,0.369030175,0.373874476,0.378931319,0.387392113,0.393094905,0.394679927,0.400239609,0.398135259,0.398442481,0.399844981,0.403857347,0.404378053,0.404882943,0.406302011,0.408606085,0.407765315,0.405579384,0.405856856,0.409209522,0.407986895,0.409470882,0.408774614,0.406606749,0.406434076,0.407073029,0.409291055,0.410117316,0.408110364,0.407772629,0.407720767,0.406534728,0.407416802,0.408193646,0.406455921,0.407104291,0.40901719,0.407271742,0.408264054,0.408637623,0.40931321,0.410784712,0.408241191,0.407791396,0.407977325,0.407854522,0.408354326,0.410706929,0.408914037,0.40869321,0.409657963,0.411091745,0.412221021,0.409992943,0.412187081,0.411004904,0.410655482,0.41053635,0.411083373,0.411443053,0.412317068,0.415048828,0.409892451,0.411005871,0.414185393,0.41028853,0.41302179,0.40920723,0.413079583,0.408863598,0.412854419,0.411762644,0.409699385,0.410830974,0.41071586,0.408633511,0.405811416,0.402752201,0.404992576
692,-0.019743672,-0.018229051,-0.011225728,-0.002250432,0.009623092,0.021017688,0.033103551,0.046621197,0.058021207,0.069475252,0.081485754,0.094659916,0.107612702,0.119266429,0.129271186,0.140555696,0.15018646,0.160235663,0.171404154,0.180319657,0.193197157,0.20300294,0.213120782,0.220911551,0.230701836,0.2407939,0.250935737,0.260779715,0.268840339,0.279211822,0.287136714,0.292994107,0.299167719,0.311973282,0.318805531,0.324455453,0.330447763,0.337113397,0.348278988,0.350348724,0.356309181,0.365243545,0.368329362,0.375556066,0.379766438,0.385121601,0.393485622,0.399711135,0.40145442,0.406483178,0.405238148,0.405039705,0.40719495,0.410447855,0.411154652,0.411341592,0.413638477,0.416248526,0.414393974,0.411974711,0.412836637,0.415412078,0.414838048,0.416642474,0.415262269,0.412473024,0.413819643,0.413618415,0.415595839,0.415765619,0.414576767,0.414179078,0.413949045,0.413102166,0.41550907,0.415269038,0.413039144,0.413733966,0.416182379,0.413519933,0.414365745,0.414982729,0.416600688,0.416996241,0.414229869,0.413873212,0.414651042,0.414258862,0.414945376,0.417844929,0.415453648,0.415595199,0.416783973,0.418192422,0.418290444,0.417060686,0.418273625,0.418233378,0.417162105,0.417107757,0.418973822,0.417956493,0.41842624,0.42218438,0.416921834,0.417378111,0.420527936,0.417312266,0.420558238,0.415960154,0.420078281,0.415320631,0.419901361,0.418623735,0.4163001,0.416543202,0.417409108,0.415328377,0.41182625,0.409363535,0.410839874
691,-0.019434912,-0.017925174,-0.011660044,-0.001774271,0.010212757,0.022226075,0.034256052,0.047483899,0.059236343,0.071584861,0.08327329,0.096561689,0.109829279,0.121680933,0.13193534,0.143211864,0.153240718,0.163088797,0.17496159,0.183747021,0.197194526,0.206975314,0.216931421,0.224636042,0.235650609,0.245145574,0.255709623,0.265352476,0.274018399,0.284289033,0.292387249,0.297715757,0.303576628,0.317426692,0.324818039,0.330323546,0.33536681,0.343489381,0.353849492,0.355947451,0.3626054,0.371825599,0.374716788,0.381657162,0.386231514,0.391118224,0.399919216,0.406595129,0.407640521,0.413066148,0.411257404,0.411446258,0.413688333,0.417370362,0.418098455,0.418335377,0.419128926,0.42277794,0.421300236,0.418527063,0.419192328,0.421904179,0.420613599,0.42334761,0.422448088,0.419878218,0.420570612,0.42045091,0.422047267,0.42242272,0.421221094,0.420926639,0.420534309,0.420141993,0.42127992,0.421362625,0.418841862,0.419868586,0.422096798,0.420098916,0.421514177,0.422337725,0.423553775,0.424447132,0.421653719,0.421117459,0.421155893,0.421103875,0.421560504,0.424121784,0.42237014,0.4219882,0.42275937,0.424671747,0.424625604,0.423432356,0.425080579,0.424557963,0.423845689,0.423889243,0.425644175,0.4242775,0.425326993,0.428373766,0.423227312,0.424995476,0.42747698,0.424173683,0.426960468,0.422891567,0.42647318,0.42212916,0.426580002,0.424776475,0.424044016,0.423764124,0.424008968,0.421198392,0.418695244,0.41513813,0.41792505
